year, cdd
1980, 35
1981, 75
1982, 55
1983, 33
1984, 52
1985, 43
1986, 56
1987, 29
1988, 99
1989, 76
1990, 94
1991, 36
1992, 52
1993, 48
1994, 73
1995, 53
1996, 88
1997, 50
1998, 21
1999, 135
2000, 44
2001, 84
2002, 71
2003, 83
2004, 71
2005, 87
2006, 71
2007, 83
2008, 68
2009, 107
2010, 90
2011, 95
2012, 60
2013, 102
2014, 112
2015, 63
2016, 33
2017, 118
